Brand,Model,Link,Price,Price Retail,Discount,Saved Amount,CPU,GPU,RAM,Storage,Screen,detail,
MSI,Laptop Msi Cyborg 14 A13VE - 090VN (i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-msi-cyborg-14-a13ve-090vn-i7-13620h-den--s240803034,25.690.000 ₫,27.990.000 ₫,-8%,2.300.000 ₫,i7-13620H,RTX 4050,16GB,512GB,"14"" WUXGA/ IPS/ 144Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs
RAM: 2 x 8GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 144Hz, 100% sRGB
Khác: Bàn phím Chiclet với phím Copilot, HD webcam, Nahimic, Hi-Res Audio, Non-EVO
OS: Windows 11 Home SEA",
ACER,Laptop Acer Nitro V 16 ProPanel ANV16-41-R36Y (Ryzen 7 8845HS/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-nitro-v-16-propanel-anv16-41-r36y--s240802643?selectPromotionId=1499577,27.990.000 ₫,31.490.000 ₫,-11%,3.500.000 ₫,R7 8845HS,RTX 4050,16GB,512GB,"16"" WUXGA/ IPS/ 165Hz","- CPU: AMD Ryzen™ 7 8845HS 8 nhân 16 luồng, xung nhịp tối đa 5.10 GHz, tích hợp NPU
- GPU: NVIDIA GeForce RTX™ 4050 6GB GDDR6, hỗ trợ Ray Tracing và DLSS 3.5
- Màn hình: Màn hình 16 inch WUXGA (1920 x 1200) IPS,165Hz, 300nits, 100% sRGB, 3ms
- Dung lượng: 16GB RAM DDR5 4800MHz, SSD 512GB M.2 NVMe
- Thiết kế: 2.5kg, màu đen Obsidian Black, phím led cam
- Tản nhiệt: Acer CoolBoost, NitroSense™ tùy chỉnh
- Pin: 4 cell 57 Wh
- Chuẩn AMD Ryzen™ AI",
ACER,Laptop Acer Nitro V 16 ProPanel ANV16-41-R6ZY (Ryzen 5 8645HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-nitro-v-16-propanel-anv16-41-r6zy--s240802644?selectPromotionId=1506102,22.090.000 ₫,26.990.000 ₫,-18%,4.900.000 ₫,R5 8645HS,RTX 3050,16GB,512GB,"16"" WUXGA/ IPS/ 165Hz","CPU: AMD Ryzen™ 5 8645HS (4.3 GHz - 5.0 GHz/ 16MB/ 6 nhân, 12 luồng)
NPU: AMD Ryzen™ AI up to 31 TOPs
VGA: GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 165Hz, 300 nits, Acer ComfyView, 100% sRGB
Khác: Có phím Copilot, HD webcam, AMD AI
OS: Windows 11 Home SL",
LG,Laptop LG Gram 16Z90SP-K.AH75A5 (Ultra 7-155H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lg-gram-16-2024-16z90sp-k-ah75a5--s240802631?selectPromotionId=1338669,36.490.000 ₫,51.400.000 ₫,-29%,14.910.000 ₫,U7-155H,Intel Graphics,16GB,512GB,"16"" WQXGA/ OLED/ 60Hz","CPU: Intel® Core™ Ultra 7-155H (3.8 GHz - 4.8 GHz/ 24MB/ 16 nhân, 22 luồng)
RAM: 2 x 8GB Onbard 7467MHz LPDDR5x
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) OLED, 60Hz, Màn hình chống lóa, 400 nits, 100% DCI-P3
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Home",
LG,Laptop LG Gram 17Z90S-G.AH78A5 (Ultra 7-155H/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-lg-gram-2024-17z90s-g-ah78a5--s240802633?selectPromotionId=1338670,33.990.000 ₫,49.290.000 ₫,-31%,15.300.000 ₫,U7-155H,Intel Graphics,16GB,1TB,"17"" WQXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 7-155H (3.8 GHz - 4.8 GHz/ 24MB/ 16 nhân, 22 luồng)
NPU: Intel® AI Boost NPU
RAM: 2 x 8GB Onboard 7467MHz
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 17"" WQXGA (2560 x 1600) IPS, 60Hz, Màn hình chống lóa, 400 nits, 99% DCI-P3
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Home",
HP,Laptop HP 15-fd1045TU - 9Z2X1PA (Core 5 120U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-15-fd1045tu-9z2x1pa--s240704436?selectPromotionId=1375015,16.990.000 ₫,19.990.000 ₫,-15%,3.000.000 ₫,Core 5 120U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ IPS/ 60Hz","CPU: Intel® Core™ 5 120U (1.4 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 60Hz, 250 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP Envy X360 14-fa0047AU - A19BPPA (Ryzen 7 8840HS/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-hp-envy-x360-14-fa0047au-a19bppa--s240704438?selectPromotionId=1506072,29.990.000 ₫,33.990.000 ₫,-12%,4.000.000 ₫,R7 8840HS,AMD Radeon,16GB,1TB,"14"" 2.8K/ OLED/ 120Hz","CPU: AMD Ryzen™ 7 8840HS (3.3 GHz - 5.1 GHz/ 16MB/ 8 nhân, 16 luồng)
NPU: AMD Ryzen™AI up to 38 TOPs
RAM: 16GB Onboard 6400MHz LPDDR5 (Không nâng cấp được)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình gương, 500 nits, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, HD webcam, HP Audio Boost, AMD AI
OS: Windows 11 Home SL",
HP,Laptop HP Probook 440 G11 - A74BHPT (Ultra 7-155U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-probook-440-g11-a74bhpt--s240704439?selectPromotionId=1506057,26.490.000 ₫,28.190.000 ₫,-6%,1.700.000 ₫,U7-155U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 7-155U (1.7 GHz - 4.8 GHz/ 12MB/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost NPU
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz,
Khác: Bàn phím Chiclet với phím Copilot, HD webcam, Intel AI
OS: Windows 11 Home",
ACER,Laptop Acer Predator Helios Neo 14 PHN14-51-96HG (Ultra 9-185H/ GeForce RTX™ 4070/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-acer-predator-helios-neo-14--s240702562?selectPromotionId=1505965,49.990.000 ₫,59.990.000 ₫,-17%,10.000.000 ₫,U9-185H,RTX 4070,32GB,1TB,"14.5"" 3K/ IPS/ 165Hz","- CPU: Intel® Core™ Ultra 9 185H (16 nhân 22 luồng, 5.1GHz, nhân NPU AI)
- GPU: NVIDIA® GeForce RTX™ 4070 8GB GDDR6 (DLSS 3.5, Ray Tracing, Max-Q)
- Màn hình: 14.5"" WQXGA+ (3072x1920) IPS, 165Hz, 100% sRGB
- Khác: Bàn phím 3-zone RGB, âm thanh DTS X:Ultra Audio, pin 76 Wh, tản nhiệt AeroBlade 3D & kim loại lỏng
- Kết nối: Killer™ Ethernet E3100G, Killer Wireless Wi-Fi 6E 1675i, Bluetooth v5.3",
HP,Laptop HP 14-ep1011TU - 9Z2W3PA (Core 5 120U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-14-ep1011tu-9z2w3pa-core-5-120u--s240602779?selectPromotionId=1506166,16.390.000 ₫,20.590.000 ₫,-20%,4.200.000 ₫,Core 5 120U,Intel Graphics,16GB,512GB,"14"" Full HD/ IPS/ 60Hz","CPU: Intel® Core™ 5 120U (1.4 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB DDR4
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" Full HD (1920 x 1080) IPS, 60Hz, 250 nits, 62.5% sRGB
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home SL",
HP,Laptop HP 14-ep1007TU - 9Z2W1PA (Core 7 150U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-14-ep1007tu-9z2w1pa-i7-150u--s240602770?selectPromotionId=1357375,20.590.000 ₫,27.990.000 ₫,-26%,7.400.000 ₫,Core 7 150U,Intel Graphics,16GB,512GB,"14"" Full HD/ 60Hz","CPU: Intel® Core™ 7 150U (1.8 GHz - 5.4 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" Full HD (1920 x 1080) 60Hz, 250 nits, 62.5% sRGB
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
DELL,Laptop Dell Inspiron 15 3520 - 25P2312 (i5-1235U/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-inspiron-15-3520-25p2312-i5-1235u--s240602773,15.990.000 ₫,17.190.000 ₫,-7%,1.200.000 ₫,i5-1235U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ WVA/ 120Hz","CPU: Intel® Core™ i5-1235U (1.3 GHz - 4.4 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 2666MHz DDR4
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) WVA, 120Hz, 250 nits,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2021",
DELL,Laptop Dell Inspiron 14 5440 - 7FN5J (Core 7 150U/ 16GB/ 1TB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-inspiron-14-5440-7fn5j-core-7-150u-xanh--s240504973,25.190.000 ₫,26.790.000 ₫,-6%,1.600.000 ₫,Core 7 150U,Intel Graphics,16GB,1TB,"14"" WUXGA/ WVA/ 60Hz","CPU: Intel® Core™ 7 150U (1.8 GHz - 5.4 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 5200MHz DDR5
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) WVA, 60Hz, Màn hình chống lóa, 250 nits, ComfyView, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2021",
LENOVO,Laptop Lenovo Legion Pro 7 16IRX9H - 83DE001NVN (i9-14900HX/ GeForce RTX™ 4080/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-lenovo-legion-pro-7-16irx9h-83de001nvn--s240503706?selectPromotionId=1506011,83.990.000 ₫,88.990.000 ₫,-6%,5.000.000 ₫,i9-14900HX,RTX 4080,32GB,1TB,"16"" WQXGA/ IPS/ 240Hz","- CPU: Intel Core i9-14900HX
  (2.2 GHz - 5.8 GHz/ 36MB/ 24 nhân, 32 luồng)
- RAM: 2 x 16GB 5600MHz DDR5 (tối đa 32GB)
- VGA: GeForce RTX™ 4080 12GB GDDR6
- Ổ cứng: 1TB SSD M.2 NVMe
- Màn hình: 16"" WQXGA (2560 x 1600) IPS, 240Hz, Chống lóa, 300 nits,",
DELL,Laptop Dell Inspiron 5440 G14 - N4I7204W1 (Core 7 150U/ 16GB/ 512GB/ Windows 11 +Office),https://phongvu.vn/laptop-dell-inspiron-5440-g14-n4i7204w1-core-7-150u-xanh--s240404258,24.490.000 ₫,26.490.000 ₫,-8%,2.000.000 ₫,Core 7 150U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ 7 150U (1.8 GHz - 5.4 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 5200MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 250 nits, ComfyView, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2021",
DELL,Laptop Dell Inspiron 5440 G14 - N4I5211W1 (Core 5 120U/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-inspiron-5440-g14-n4i5211w1-core-5-120u-xanh--s240404257?selectPromotionId=1438259,22.890.000 ₫,24.490.000 ₫,-7%,1.600.000 ₫,Core 5 120U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ 5 120U (1.4 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 5200MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 250 nits, ComfyView, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2021",
ACER,Laptop Acer Swift Go AI 2024 Gen 2 SFG14-73-71ZX (Ultra 7-155H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-swift-go-ai-2024-gen-2-sfg14-73-71zx-ultra-7-155h-bac--s240401749?selectPromotionId=1505956,24.290.000 ₫,26.990.000 ₫,-10%,2.700.000 ₫,U7-155H,Intel Graphics,16GB,512GB,"14"" 2.8K/ IPS/ 120Hz","CPU: Intel® Core™ Ultra 7-155H (3.8 GHz - 4.8 GHz/ 24MB/ 16 nhân, 22 luồng)
NPU: Intel® AI Boost NPU
RAM: 1 x 16GB 6400MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) IPS, 120Hz, 400 nits, Acer ComfyView, 100% sRGB
Khác: Bàn phím Chiclet với phím Copilot, QHD webcam, Acer TrueHarmony Technology, Intel AI
OS: Windows 11 Home SL",
MSI,Laptop Msi Prestige 13 AI Evo A1MG-062VN (Ultra 7-155H/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-msi-prestige-13-ai-evo-a1mg-062vn-ultra-7-155h-xam--s240300078?selectPromotionId=1456532,29.990.000 ₫,33.990.000 ₫,-12%,4.000.000 ₫,U7-155H,Intel Graphics,32GB,1TB,"13.3"" 2.8K/ OLED/ 60Hz","- CPU: Intel® Core™ Ultra 7-155H
  (3.8 GHz - 4.8 GHz/ 24MB/ 16 nhân, 22 luồng)
- NPU: Intel® AI Boost NPU
- RAM: 32GB Onbard 6400MHz LPDDR5
  (Hỗ trợ tối đa 32GB)
- VGA: Onboard 
- Ổ cứng: 1TB SSD M.2 NVMe
- Màn hình: 13.3"" 2.8K (2880 x 1800) OLED, 100% DCI-P3
- Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Hi-Res Audio, Intel AI",
LENOVO,Laptop Lenovo Yoga Book 9 13IMU9 - 83FF001SVN (Ultra 7-155U/ 32GB/ 1TB/ Windows 11 + Office),https://phongvu.vn/laptop-lenovo-yoga-book-9-13imu9-83ff001svn-ultra-7-155h--s240201295?selectPromotionId=1506015,64.990.000 ₫,66.990.000 ₫,-3%,2.000.000 ₫,U7-155U,Intel Graphics,32GB,1TB,"13.3"" 2.8K/ IPS/ 60Hz","- CPU: Intel® Core™ Ultra 7-155U
  (1.7 GHz - 4.8 GHz/ 12MB/ 12 nhân, 14 luồng)
- RAM: 32GB Onboard LPDDR5x
- Ổ cứng: 1TB SSD M.2 NVMe
- Màn hình: 13.3"" 2.8K (2880 x 1800) IPS, 400 nits, 100% DCI-P3
- Khác: Bàn phím Chiclet với phím Copilot, HD webcam",
HP,Laptop HP Victus 16-s0140AX - 9Q987PA (Ryzen 7 7840HS/ GeForce RTX™ 4050/ 32GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-victus-16-s0140ax-9q987pa-amd-ryzen-7-7840hs-den--s240201277?selectPromotionId=1375016,29.990.000 ₫,35.890.000 ₫,-16%,5.900.000 ₫,R7 7840HS,RTX 4050,32GB,512GB,"16.1"" Full HD/ IPS/ 144Hz","CPU: AMD Ryzen™ 7 7840HS (3.8 GHz - 5.1 GHz/ 16MB/ 8 nhân, 16 luồng)
NPU: AMD Ryzen™AI up to 10 TOPs
VGA: GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs
RAM: 2 x 16GB 5600MHz DDR5
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16.1"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, HP Audio Boost, AMD AI
OS: Windows 11 Home SL",
HP,Laptop HP Victus 16-r0228TX - 9Q979PA (i5-13500H/ GeForce RTX™ 4050/ 32GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-victus-16-r0228tx-9q979pa-i5-13500h-den--s240201274?selectPromotionId=1413210,27.090.000 ₫,33.290.000 ₫,-19%,6.200.000 ₫,i5-13500H,RTX 4050,32GB,512GB,"16.1"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-13500H (2.6 GHz - 4.7 GHz/ 18MB/ 12 nhân, 16 luồng)
VGA: GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs
RAM: 2 x 16GB 5200MHz DDR5
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16.1"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, HP Audio Boost, Non-EVO
OS: Windows 11 Home SL",
MSI,Laptop Msi Cyborg 15 AI A1VEK-053VN (Ultra 7-155H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-msi-cyborg-15-ai-a1ve-053vn--s240200157?selectPromotionId=1346309,27.990.000 ₫,30.990.000 ₫,-10%,3.000.000 ₫,U7-155H,RTX 4050,16GB,512GB,"15.6"" Full HD/ IPS","- CPU: Intel® Core™ Ultra 7-155H
  (3.8 GHz - 4.8 GHz/ 24MB/ 16 nhân, 22 luồng)
- NPU: Intel® AI Boost NPU
- RAM: 2 x 8GB 5600MHz DDR5
  (Hỗ trợ tối đa 96GB)
- VGA: GeForce RTX™ 4050 6GB GDDR6
- Ổ cứng: 512GB SSD M.2 NVMe
- Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 100% DCI-P3
- Khác: Có phím Copilot, HD webcam, Nahimic, Hi-Res Audio, Intel AI",
ACER,Laptop Acer Aspire 5 A514-56P-55K5 (NX.KHRSV.003) (i5-1335U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-aspire-5-a514-56p-55k5-nx-khrsv-003-i5-1335u-xam--s230904123?selectPromotionId=1505968,15.990.000 ₫,16.990.000 ₫,-6%,1.000.000 ₫,i5-1335U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ i5-1335U (1.3 GHz - 4.6 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 16GB 6400MHz LPDDR5 (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Acer ComfyView,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
ACER,Laptop Acer Aspire 5 A514-56P-742F (NX.KHRSV.005) (i7-1355U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-aspire-5-a514-56p-742f-nx-khrsv-005-i7-1355u-xam--s230903487?selectPromotionId=1505967,17.990.000 ₫,19.990.000 ₫,-10%,2.000.000 ₫,i7-1355U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ i7-1355U (1.7 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 16GB 6400MHz LPDDR5 (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, 250 nits, Acer ComfyView, 45% NTSC
Khác: Bàn phím thường, HD webcam, Acer Purified Voice, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP 15-fd0083TU - 8D736PA (i7-1355U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-15-fd0083tu-8d736pa--s230903465?selectPromotionId=1447700,18.990.000 ₫,22.490.000 ₫,-16%,3.500.000 ₫,i7-1355U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ IPS/ 60Hz","CPU: Intel® Core™ i7-1355U (1.7 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 60Hz, 250 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP Pavilion 15-eg3095TU - 8C5L6PA (i5-1335U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-pavilion-15-eg3095tu-8c5l6pa-i5-1335u-bac--s230803714?selectPromotionId=1341048,17.190.000 ₫,19.990.000 ₫,-14%,2.800.000 ₫,i5-1335U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ IPS/ 60Hz","CPU: Intel® Core™ i5-1335U (1.3 GHz - 4.6 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 60Hz, Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, HP Audio Boost, Non-EVO
OS: Windows 11 Home",
ACER,Laptop Acer Gaming Aspire 7 A715-76G-5806 (i5-12450H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-gaming-aspire-7-a715-76g-5806--s230703419?selectPromotionId=1505973,18.890.000 ₫,22.590.000 ₫,-16%,3.700.000 ₫,i5-12450H,RTX 3050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-12450H (2.0 GHz - 4.4 GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 3050 4GB GDDR6, 143 AI TOPs
RAM: 2 x 8GB 3200MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz, Acer ComfyView,
Khác: Bàn phím thường, HD webcam, Acer Purified Voice; Acer TrueHarmony, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP EliteBook 6 G1i 13 - BQ9M6PT (Ultra 7-255U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-elitebook-6-g1i-13-bq9m6pt--s251104418?selectPromotionId=1506280,29.490.000 ₫,30.190.000 ₫,-2%,700.000 ₫,U7-255U,Intel Graphics,16GB,512GB,"13.3"" WUXGA/ IPS","CPU: Intel® Core™ Ultra 7-255U (2.4 GHz - 5.2 GHz/ 12MB/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost 12 TOPS
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 13.3"" WUXGA (1920 x 1200) IPS, Màn hình chống lóa, 300 nits, 62.5% sRGB
Khác: Bàn phím thường, FHD webcam, Audio by Poly Studio, Intel EVO
OS: Windows 11 Home",
ASUS,Laptop Asus ExpertBook P3 P3605CVA-PL0047W (i7-13620H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-expertbook-p3-p3605cva-pl0047w--s251019019,24.490.000 ₫,,,,i7-13620H,Intel Graphics,16GB,512GB,"16"" WQXGA/ 144Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
RAM: 1 x 16GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) 144Hz, Màn hình chống lóa, 400 nits, 100% sRGB
Khác: Bàn phím thường, FHD webcam, Smart Amp Technology, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP Elitebook X Flip G1i - B9FN2PT (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-hp-elitebook-xflip-g1i-b9fn2pt--s251012818?selectPromotionId=1506273,55.490.000 ₫,57.990.000 ₫,-4%,2.500.000 ₫,U7-258V,Intel Graphics,32GB,1TB,"14"" 2.5K/ IPS/ 120Hz","CPU: Intel® Core™ Ultra 7-258V (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 47 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.5K (2560 x 1600) IPS, 120Hz, Màn hình chống lóa, 400 nits, 100% DCI-P3
Khác: Bàn phím thường, HD webcam, Audio by Poly Studio, Non-EVO
OS: Windows 11 Pro",
APPLE,MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 24GB/ 1TB),https://phongvu.vn/macbook-pro-14-m5-10-cpu-10-gpu-24gb-1tb--p798363?sku=251010235&selectPromotionId=1256392,51.490.000 ₫,51.799.000 ₫,-1%,309.000 ₫,Apple M5,,,14.2 inch (3024 x 1964),,"CPU: Apple M5
Màn hình: 14.2 inch (3024 x 1964) Liquid Retina XDR
RAM: 24GB / 1TB SSD
Hệ điều hành: macOS",
ASUS,Laptop Asus ROG Strix SCAR 18 G835LR-SA130W (Ultra 9 275HX/ GeForce RTX™ 5070Ti/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-asus-rog-strix-scar-18-g835lr-sa130w--s251009146,66.990.000 ₫,69.990.000 ₫,-4%,3.000.000 ₫,U9-275HX,RTX 5070Ti,32GB,1TB,"18"" WQXGA/ Mini LED/ 240Hz","CPU: Intel® Core™ Ultra 9-275HX (2.7 GHz - 5.4 GHz/ 36MB/ 24 nhân, 24 luồng)
NPU: Intel® AI Boost 13 TOPS
VGA: GeForce RTX™ 5070Ti 12GB GDDR7
RAM: 1 x 32GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 18"" WQXGA (2560 x 1600) Mini LED, 240Hz, Màn hình chống lóa, 1200 nits, G-Sync, 100% DCI-P3
Khác: Bàn phím gaming RGB Per-Key với phím Copilot, FHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Home",
